threshold_pctile,threshold_vol20_value,index,predictor,coef,tstat,pval,N_highvol
80,0.013739,SZCOMP,PhotoPes_std_lag5,0.001237,0.957,0.3387,593
80,0.013739,SZCOMP,TextPes_std_lag1,-0.001459,-1.104,0.2698,593
80,0.013739,SZCOMP,TextPes_std_lag2,3.2e-05,0.026,0.9789,593
80,0.013739,SZCOMP,TextPes_std_lag3,-0.002762,-2.302,0.0213,593
80,0.013739,SZCOMP,TextPes_std_lag4,0.00047,0.308,0.7582,593
80,0.013739,SZCOMP,TextPes_std_lag5,0.00053,0.349,0.727,593
80,0.013739,ChiNext,PhotoPes_std_lag1,0.001427,0.709,0.4784,593
80,0.013739,ChiNext,PhotoPes_std_lag2,0.001439,0.926,0.3544,593
80,0.013739,ChiNext,PhotoPes_std_lag3,-0.004278,-2.719,0.0065,593
80,0.013739,ChiNext,PhotoPes_std_lag4,-0.001547,-0.937,0.3488,593
80,0.013739,ChiNext,PhotoPes_std_lag5,0.001554,0.96,0.337,593
80,0.013739,ChiNext,TextPes_std_lag1,-0.001896,-1.232,0.2178,593
80,0.013739,ChiNext,TextPes_std_lag2,-0.000137,-0.094,0.9248,593
80,0.013739,ChiNext,TextPes_std_lag3,-0.003344,-2.482,0.0131,593
80,0.013739,ChiNext,TextPes_std_lag4,0.000486,0.266,0.7899,593
80,0.013739,ChiNext,TextPes_std_lag5,0.000638,0.368,0.7132,593
80,0.013739,CSI500,PhotoPes_std_lag1,0.000626,0.426,0.6701,593
80,0.013739,CSI500,PhotoPes_std_lag2,0.001382,1.104,0.2694,593
80,0.013739,CSI500,PhotoPes_std_lag3,-0.003265,-2.174,0.0297,593
80,0.013739,CSI500,PhotoPes_std_lag4,-0.001411,-0.918,0.3587,593
80,0.013739,CSI500,PhotoPes_std_lag5,0.001253,0.918,0.3585,593
80,0.013739,CSI500,TextPes_std_lag1,-0.001469,-1.051,0.2935,593
80,0.013739,CSI500,TextPes_std_lag2,0.000615,0.495,0.6203,593
80,0.013739,CSI500,TextPes_std_lag3,-0.002815,-2.299,0.0215,593
80,0.013739,CSI500,TextPes_std_lag4,0.000349,0.227,0.8201,593
80,0.013739,CSI500,TextPes_std_lag5,0.000363,0.232,0.8166,593
90,0.018811,CSI300,PhotoPes_std_lag1,-0.000629,-0.323,0.7466,297
90,0.018811,CSI300,PhotoPes_std_lag2,0.001327,0.881,0.3781,297
90,0.018811,CSI300,PhotoPes_std_lag3,-0.003276,-1.616,0.106,297
90,0.018811,CSI300,PhotoPes_std_lag4,-0.001621,-0.821,0.4118,297
90,0.018811,CSI300,PhotoPes_std_lag5,0.000649,0.381,0.7032,297
90,0.018811,CSI300,TextPes_std_lag1,-0.002265,-1.222,0.2219,297
90,0.018811,CSI300,TextPes_std_lag2,-0.000401,-0.261,0.7938,297
90,0.018811,CSI300,TextPes_std_lag3,-0.001137,-0.601,0.5481,297
90,0.018811,CSI300,TextPes_std_lag4,0.000955,0.497,0.6195,297
90,0.018811,CSI300,TextPes_std_lag5,0.001246,0.644,0.5196,297
90,0.018811,SHCOMP,PhotoPes_std_lag1,-0.000609,-0.327,0.7436,297
90,0.018811,SHCOMP,PhotoPes_std_lag2,0.001457,0.989,0.3224,297
90,0.018811,SHCOMP,PhotoPes_std_lag3,-0.002696,-1.295,0.1955,297
90,0.018811,SHCOMP,PhotoPes_std_lag4,-0.001733,-0.877,0.3804,297
90,0.018811,SHCOMP,PhotoPes_std_lag5,0.000312,0.192,0.8476,297
90,0.018811,SHCOMP,TextPes_std_lag1,-0.002258,-1.212,0.2256,297
90,0.018811,SHCOMP,TextPes_std_lag2,-0.000364,-0.239,0.8112,297
90,0.018811,SHCOMP,TextPes_std_lag3,-0.001099,-0.607,0.544,297
90,0.018811,SHCOMP,TextPes_std_lag4,0.000633,0.347,0.7289,297
90,0.018811,SHCOMP,TextPes_std_lag5,0.001269,0.65,0.5157,297
90,0.018811,SZCOMP,PhotoPes_std_lag1,0.000723,0.332,0.7402,297
90,0.018811,SZCOMP,PhotoPes_std_lag2,0.001099,0.611,0.5409,297
90,0.018811,SZCOMP,PhotoPes_std_lag3,-0.003507,-1.565,0.1175,297
90,0.018811,SZCOMP,PhotoPes_std_lag4,-0.001686,-0.715,0.4744,297
90,0.018811,SZCOMP,PhotoPes_std_lag5,0.000745,0.398,0.6906,297
90,0.018811,SZCOMP,TextPes_std_lag1,-0.001356,-0.685,0.4936,297
90,0.018811,SZCOMP,TextPes_std_lag2,-0.001209,-0.706,0.4801,297
90,0.018811,SZCOMP,TextPes_std_lag3,-0.00209,-1.192,0.2332,297
90,0.018811,SZCOMP,TextPes_std_lag4,-0.000421,-0.191,0.8488,297
90,0.018811,SZCOMP,TextPes_std_lag5,0.000257,0.122,0.903,297
90,0.018811,ChiNext,PhotoPes_std_lag1,0.001693,0.565,0.5724,297
90,0.018811,ChiNext,PhotoPes_std_lag2,0.000793,0.344,0.7307,297
90,0.018811,ChiNext,PhotoPes_std_lag3,-0.005526,-2.298,0.0216,297
90,0.018811,ChiNext,PhotoPes_std_lag4,-0.000873,-0.327,0.7435,297
90,0.018811,ChiNext,PhotoPes_std_lag5,0.000956,0.379,0.7045,297
90,0.018811,ChiNext,TextPes_std_lag1,-0.001833,-0.796,0.4258,297
90,0.018811,ChiNext,TextPes_std_lag2,-0.002294,-1.088,0.2765,297
90,0.018811,ChiNext,TextPes_std_lag3,-0.002921,-1.486,0.1372,297
90,0.018811,ChiNext,TextPes_std_lag4,-0.000546,-0.203,0.8391,297
90,0.018811,ChiNext,TextPes_std_lag5,0.000327,0.134,0.8931,297
90,0.018811,CSI500,PhotoPes_std_lag1,0.000927,0.431,0.6667,297
90,0.018811,CSI500,PhotoPes_std_lag2,0.001198,0.654,0.5128,297
90,0.018811,CSI500,PhotoPes_std_lag3,-0.003588,-1.515,0.1297,297
90,0.018811,CSI500,PhotoPes_std_lag4,-0.001603,-0.654,0.5133,297
90,0.018811,CSI500,PhotoPes_std_lag5,0.000949,0.473,0.636,297
90,0.018811,CSI500,TextPes_std_lag1,-0.001296,-0.611,0.541,297
90,0.018811,CSI500,TextPes_std_lag2,-0.000663,-0.382,0.7022,297
90,0.018811,CSI500,TextPes_std_lag3,-0.002449,-1.36,0.1738,297
90,0.018811,CSI500,TextPes_std_lag4,-0.000374,-0.166,0.8679,297
90,0.018811,CSI500,TextPes_std_lag5,9.9e-05,0.045,0.9642,297
